uttrance,intent,entities
Hey Chapo,casual_checkin,{}
What's up?,casual_checkin,{}
What's up?,casual_checkin,{}
How's it going?,casual_checkin,{}
How's it going?,casual_checkin,{}
What's up?,casual_checkin,{}
How's it going?,casual_checkin,{}
Hello there,casual_checkin,{}
What's up?,casual_checkin,{}
How's it going?,casual_checkin,{}
Hello there,casual_checkin,{}
How's it going?,casual_checkin,{}
Hey Chapo,casual_checkin,{}
Hello there,casual_checkin,{}
What's up?,casual_checkin,{}
What's up?,casual_checkin,{}
What's up?,casual_checkin,{}
Hey Chapo,casual_checkin,{}
Hey Chapo,casual_checkin,{}
What's up?,casual_checkin,{}
What's up?,casual_checkin,{}
What's up?,casual_checkin,{}
Hello there,casual_checkin,{}
What's up?,casual_checkin,{}
Hello there,casual_checkin,{}
Hey Chapo,casual_checkin,{}
Hello there,casual_checkin,{}
What's up?,casual_checkin,{}
How's it going?,casual_checkin,{}
Hey Chapo,casual_checkin,{}
Hello there,casual_checkin,{}
How's it going?,casual_checkin,{}
Hello there,casual_checkin,{}
Hey Chapo,casual_checkin,{}
What's up?,casual_checkin,{}
Hello there,casual_checkin,{}
Hello there,casual_checkin,{}
How's it going?,casual_checkin,{}
How's it going?,casual_checkin,{}
What's up?,casual_checkin,{}
Hello there,casual_checkin,{}
Hello there,casual_checkin,{}
How's it going?,casual_checkin,{}
How's it going?,casual_checkin,{}
How's it going?,casual_checkin,{}
Hey Chapo,casual_checkin,{}
How's it going?,casual_checkin,{}
How's it going?,casual_checkin,{}
How's it going?,casual_checkin,{}
What's up?,casual_checkin,{}
What's up?,casual_checkin,{}
Hey Chapo,casual_checkin,{}
How's it going?,casual_checkin,{}
What's up?,casual_checkin,{}
Hello there,casual_checkin,{}
Hey Chapo,casual_checkin,{}
What's up?,casual_checkin,{}
Hello there,casual_checkin,{}
What's up?,casual_checkin,{}
What's up?,casual_checkin,{}
Hello there,casual_checkin,{}
Hello there,casual_checkin,{}
How's it going?,casual_checkin,{}
Hello there,casual_checkin,{}
Hey Chapo,casual_checkin,{}
How's it going?,casual_checkin,{}
Hello there,casual_checkin,{}
Hello there,casual_checkin,{}
Hello there,casual_checkin,{}
Hey Chapo,casual_checkin,{}
Hey Chapo,casual_checkin,{}
Hello there,casual_checkin,{}
What's up?,casual_checkin,{}
Hey Chapo,casual_checkin,{}
Hello there,casual_checkin,{}
Hello there,casual_checkin,{}
What's up?,casual_checkin,{}
Hello there,casual_checkin,{}
How's it going?,casual_checkin,{}
Hey Chapo,casual_checkin,{}
Hey Chapo,casual_checkin,{}
Hey Chapo,casual_checkin,{}
What's up?,casual_checkin,{}
How's it going?,casual_checkin,{}
Hello there,casual_checkin,{}
What's up?,casual_checkin,{}
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
You make me feel better,chat_emotion,"{""emotion"": ""comforted""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
I'm not in the mood to chat,chat_emotion,"{""emotion"": ""irritated""}"
I’m happy to talk to you,chat_emotion,"{""emotion"": ""happy""}"
Let's have a deep conversation,chat_emotion,"{""emotion"": ""reflective""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
Send an emergency alert,emergency_alert,"{""type"": ""alert""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
Call 911 now,emergency_alert,"{""type"": ""emergency""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
I need urgent help,emergency_alert,"{""type"": ""urgent""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
There's a fire!,emergency_alert,"{""type"": ""fire""}"
